2.0,LiverpoolBrenda
1.4,katiktse
0.1,MonstaDoggo
3.4,FOXNashville
0.9,EnjoyLi46809627
1.6,annasantina5
3.8,norton_brodie
4.6,MGDezigns
0.2,drsrivastava26
4.8,JayLochrie
1.7,City604Van
0.2,leviormiston
0.4,heathroi
0.4,bennpackham
4.5,AspieMum
3.6,LouiseQuoVadis
1.0,somewherecymru
2.2,ShingetsuNews
0.5,J__Donner
0.8,flashgrim
4.9,roadrunner6149
0.4,FamousMilton
0.2,JoeOnisick
3.7,covid19_alerts
4.2,brat2381
1.0,JMculsky
1.0,vohrabs
0.1,irishmednews
4.1,otvnews
4.6,Vaccine41931315
1.8,spiderweb945
3.0,DerrekSpace
1.7,Aakashwani16
2.0,gerbear234
0.2,they_had_names
4.2,REoptimizer
1.0,ite_ad
0.0,Raychi85
1.1,di_daisyistand
0.7,trekkerteach12
1.0,ClassicMP
0.2,dave_watson1
4.1,ecobearwitness
4.6,ACJJustice
1.2,defloody
4.6,MGDezigns
3.6,SteveWCarlson
1.1,CMacdon12
0.5,MarlieP62
0.6,BernieUpstateNY
1.0,leene50
1.0,binugazi
1.3,ktidla
1.7,ScottKnoer
0.6,spindezine
0.8,CTF_FCE_PRES
4.1,lcildir
0.6,faroukzahir
0.0,jodenomme
3.7,covid19_alerts
1.0,HOPress
1.0,Angela_B015
0.1,carruthers_moe
1.0,YvonneF50177592
0.3,valerievezina
1.2,Xiwen
4.5,unitingaviation
4.6,john_siracusa
0.0,GeoffHeinricks
4.8,Ladybug014
